subject	stim	trial	native	AT	w1_bnc_freq	w1_and_bnc_freq	w2_bnc_freq	and_w2_bnc_freq	stim_type	phrasal_freq	phrasal_length	length_stay	age_expose
10	address_and_name	93	Native speaker	865	6863	386	25473	76	rev	1	14	9999	9999
10	body_and_mind	45	Native speaker	801	24657	1224	27103	173	rev	51	11	9999	9999
10	brothers_and_sisters	84	Native speaker	980	3513	524	1960	376	bi	318	18	9999	9999
10	butter_and_bread	12	Native speaker	777	2087	340	3637	146	rev	0	14	9999	9999
10	buy_and_sell	67	Native speaker	605	12293	240	7606	431	bi	84	10	9999	9999
10	cause_and_effect	90	Native speaker	952	12883	370	23149	270	bi	143	14	9999	9999
10	child_and_mother	104	Native speaker	779	23669	737	24401	426	rev	5	14	9999	9999
10	church_and_state	96	Native speaker	992	20207	1231	35580	605	bi	102	14	9999	9999
10	crime_and_punishment	24	Native speaker	1000	6922	682	2215	193	bi	109	18	9999	9999
10	demand_and_supply	50	Native speaker	950	10907	405	9550	310	rev	80	15	9999	9999
10	drink_and_food	42	Native speaker	779	7691	624	18689	818	rev	4	12	9999	9999
10	family_and_friends	53	Native speaker	914	33713	1866	14540	870	bi	331	16	9999	9999
10	flora_and_fauna	81	Native speaker	971	954	181	358	140	bi	132	13	9999	9999
10	fork_and_knife	85	Native speaker	555	844	74	2589	19	rev	4	12	9999	9999
10	forwards_and_backwards	15	Native speaker	1045	1470	240	1739	82	rev	60	20	9999	9999
10	gold_and_silver	17	Native speaker	756	7563	587	4883	490	bi	173	13	9999	9999
10	groom_and_bride	33	Native speaker	835	499	40	1088	7	rev	0	13	9999	9999
10	loss_and_profit	115	Native speaker	837	11476	296	5884	168	rev	0	13	9999	9999
10	men_and_women	91	Native speaker	679	37104	3434	38240	2807	bi	1956	11	9999	9999
10	mix_and_match	43	Native speaker	821	2663	100	9361	119	bi	43	11	9999	9999
10	mouse_and_cat	62	Native speaker	847	1856	83	3847	43	rev	0	11	9999	9999
10	newspapers_and_magazines	108	Native speaker	1330	3413	474	1670	198	bi	96	22	9999	9999
10	night_and_day	79	Native speaker	584	34976	1517	60221	262	rev	110	11	9999	9999
10	pain_and_suffering	30	Native speaker	861	7012	800	4180	257	bi	83	16	9999	9999
10	present_and_past	92	Native speaker	962	24863	647	25393	185	rev	25	14	9999	9999
